"longitude","latitude","label","start_date","end_date","notes"
106.57,-7.08,"natural_forest",2023-01-01,2025-12-31,"Primary forest - undisturbed canopy"
106.571,-7.079,"natural_forest",2023-01-01,2025-12-31,"Primary forest - ridge top"
106.572,-7.078,"natural_forest",2023-01-01,2025-12-31,"Secondary forest - mature regrowth"
106.573,-7.077,"natural_forest",2023-01-01,2025-12-31,"Secondary forest - riparian/stream buffer"
106.574,-7.076,"natural_forest",2023-01-01,2025-12-31,"Natural forest - steep slope"
106.575,-7.075,"production_forest",2023-01-01,2025-12-31,"Timber plantation - pine (Pinus merkusii)"
106.576,-7.074,"production_forest",2023-01-01,2025-12-31,"Timber plantation - mahogany (Swietenia)"
106.577,-7.073,"production_forest",2023-01-01,2025-12-31,"Timber plantation - teak (Tectona grandis)"
106.578,-7.072,"production_forest",2023-01-01,2025-12-31,"Timber plantation - eucalyptus"
106.579,-7.071,"production_forest",2023-01-01,2025-12-31,"Timber plantation - mixed commercial species"
106.58,-7.07,"agroforest",2023-01-01,2025-12-31,"Agroforest - rubber (Hevea brasiliensis)"
106.581,-7.069,"agroforest",2023-01-01,2025-12-31,"Agroforest - coffee under shade trees"
106.582,-7.068,"agroforest",2023-01-01,2025-12-31,"Agroforest - cacao under shade trees"
106.583,-7.067,"agroforest",2023-01-01,2025-12-31,"Agroforest - mixed fruit trees"
106.584,-7.066,"agroforest",2023-01-01,2025-12-31,"Agroforest - clove/nutmeg with shade"
