"longitude","latitude","label","start_date","end_date","notes"
106.56,-7.15,"shrubs",2023-01-01,2025-12-31,"Woody shrubland - dense scrub"
106.561,-7.151,"shrubs",2023-01-01,2025-12-31,"Young secondary growth - 2-5 years"
106.562,-7.152,"shrubs",2023-01-01,2025-12-31,"Bush/scrub on degraded slope"
106.563,-7.153,"shrubs",2023-01-01,2025-12-31,"Shrubs along road/clearing edge"
106.564,-7.154,"shrubs",2023-01-01,2025-12-31,"Mixed shrubs - scattered small trees"
106.565,-7.155,"grassland",2023-01-01,2025-12-31,"Open grassland - alang-alang (Imperata)"
106.566,-7.156,"grassland",2023-01-01,2025-12-31,"Pasture/grazing land"
106.567,-7.157,"grassland",2023-01-01,2025-12-31,"Grass on cleared slope"
106.568,-7.158,"grassland",2023-01-01,2025-12-31,"Grass meadow - valley bottom"
106.569,-7.159,"grassland",2023-01-01,2025-12-31,"Grass on abandoned agricultural land"
